prompt,intent,classes
"In AA2:AA30, you have insert a particular number as ""Delete"" in ""AA2:AA30"".",Delete cell range,entry and manipulation
Please remove cell with specific data type in range AB2:AB,Delete cell range,entry and manipulation
Please remove cells with specific data type in range AB2:AB30,Delete cell range,entry and manipulation
"Please remove cells with specific data type in range AB2:AB30"".",Delete cell range,entry and manipulation
Please remove cells with specific data type in range AB2:AB30,Delete cell range,entry and manipulation
"Delete cells with specific formula dependencies in range AC2:AC30"".",Delete cell range,entry and manipulation
Can I delete cell with specific formula dependencies in range AC1 to AC30?,Delete cell range,entry and manipulation
How do I delete cell using specific formula dependent in range of AC2 to AC30?,Delete cell range,entry and manipulation
Delete cells with specific formula dependence in range AC2:AC,Delete cell range,entry and manipulation
"I want to remove rows with specific content type in range AD2:AD30"".",Delete cell range,entry and manipulation
I want to remove rows with specific content type in range AD2:AD Here are examples.,Delete cell range,entry and manipulation
"I want to remove rows with specific content type in range AD2:AD In this scenario, ""Absolutely"" needs to be added.",Delete cell range,entry and manipulation
I want to delete rows with specific content type in range AD2:AD My page is full of these rows (after creating my url).,Delete cell range,entry and manipulation
I want to delete a column type in AE How do I do this?,Delete cell range,entry and manipulation
Can you delete columns with specific column type in range AE2:AE30?,Delete cell range,entry and manipulation
Can you delete columns with specific column type in range AE2 to AE30?,Delete cell range,entry and manipulation
Why can't I delete column type in range AE2:AE30?,Delete cell range,entry and manipulation
Delete cells with specific content status in range AF2:AF,Delete cell range,entry and manipulation
"In the range AF2:AF30 remove cells with specific content status."" (transplant). (transplant).",Delete cell range,entry and manipulation
Remove cells with specific content status in range AF2:AF30,Delete cell range,entry and manipulation
"The row ""Delete rows with specific error type in range AG2:AG30"" is the first row. Where is the row:Use it?",Delete cell range,entry and manipulation
Should I delete rows with specific error type in range AG2:AG30?,Delete cell range,entry and manipulation
"Delete rows with specific error type in range AG2:AG30"".",Delete cell range,entry and manipulation
What specific error type was deleted in the range AG2:AG30?,Delete cell range,entry and manipulation
"Please remove cell with specific formula category in range AH2:AH30"" ""Please remove cells with specific formula"".",Delete cell range,entry and manipulation
"Are there any extra cells in the formula category of formula I-1 AH2:AH30? If so, please remove these.",Delete cell range,entry and manipulation
"Please remove cells with specific formula category in range AH2:AH30"".",Delete cell range,entry and manipulation
Please remove cells with specific formula category in range AH1:AH,Delete cell range,entry and manipulation
Delete cells with specific character limit in range AI1:AI,Delete cell range,entry and manipulation
Delete cells with specific character limit in range ADI1:AI,Delete cell range,entry and manipulation
"Write ""Delete cell with specific character limit in range AI2:AI",Delete cell range,entry and manipulation
Delete cells with specific character limit in range AI2:AI30,Delete cell range,entry and manipulation
"Delete cells with specific character limit in range AI2:AI30"" [math]",Delete cell range,entry and manipulation
Are there enough rows in datasource AJ2:AJ30?,Delete cell range,entry and manipulation
"I want to remove rows in range AJ2:AJ ""Remove rows with specific data source in range AJ2:AJ30"". I have JAVA to remove rows?",Delete cell range,entry and manipulation
I want to remove rows with specific data source in range AJ2:AJ Relative AJ2: I see the field of reference AJ2:AJ,Delete cell range,entry and manipulation
"I want to remove rows with specific data source in AJ2:AJ ""July 1, 2017 -- In application:July 6, 2017-17; AJ2:AJ I want to.. Delete rows with the last available user-factor.The next level is AJ All rows do the last level but then all rows do the last level. [July 7) is the last level].",Delete cell range,entry and manipulation
I want to remove rows with specific data source in range AJ2:AJ,Delete cell range,entry and manipulation
How can I delete columns with named style?,Delete cell range,entry and manipulation
Can you delete columns with specific named style?,Delete cell range,entry and manipulation
How do you delete column with specified named style?,Delete cell range,entry and manipulation
How do you delete columns that have specific named style?,Delete cell range,entry and manipulation
What is the correct way to remove specific named columns?,Delete cell range,entry and manipulation
Remove cells with specific review status in range AK2:AK30,Delete cell range,entry and manipulation
Disabled rows with specific protection status in range AL2:AL,Delete cell range,entry and manipulation
